All,Tot
"The template did not load. Please review the log for details.","La plantilla no es carregava. Per obtenir més informació, reviseu el registre."
"Gift Card Lifetime","Durada de la Targeta Regal"
"Lifetime (days)","Durada (dies)"
Short,Breu
Processing,Processant
"Shipping Method","Mètode d'enviament"
"Customer Token Lifetime (hours)","Durada del Token del client (hores)"
"Admin Token Lifetime (hours)","Durada del Token d'Admin (hores)"
"Invite your friends by entering their email addresses","Inviteu els vostres amics escrivint les seves adreces de correu electrònic"
"Now Shopping by","Comprant per"
"Log Entry Lifetime, Days","Durada d'entrada de registre, dies"
Reorder,"Torna a fer la comanda"
"Catalog Reviews","Ressenyes del Catàleg"
"Admin My Account","Administrar El Meu Compte"
"My Wish Lists","La Meva Llista de Desitjos"
"My Wish Lists Link","Enllaç a la Meva Llista de Desitjos"
"Review Order - %1","Revisar comanda - %1"
"Go to Review Your Order","Anar a Revisar la vostra comanda"
"Check Out with Multiple Addresses","Finalitzar compra amb múltiples adreces"
"Order Review","Revisar comanda"
"Review Order","Revisar comanda"
"Successful Messages Lifetime","Durada dels missatges correctes"
"Failed Messages Lifetime","Durada dels missatges fallits"
"New Messages Lifetime","Durada dels missatges nous"
"Shipping & Handling","Enviament i manipulació"
"Client reviewed","Client revisat"
"Catalog prices have changed, and you may want to review the offer. Details about the changes are available in the History Log.","Els preus del catàleg han canviat i és possible que vulgueu revisar l’oferta. Els detalls sobre els canvis estan disponibles al registre de l'historial."
"The discount for this quote has been removed because the buyer has reached the maximum number of attempts to request a discount. You may want to review the offer amount.","S'ha eliminat el descompte d'aquest pressupost perquè el comprador ha assolit el nombre màxim d'intents de sol·licitar un descompte. És possible que vulgueu revisar l’import de l’oferta."
"The discount for this quote has been removed because the cart rule has been deleted. You may want to review the offer amount.","S'ha eliminat el descompte per a aquesta cotització perquè s'ha eliminat la regla de la cistella. És possible que vulgueu revisar l’import de l’oferta."
"Quote taxes have been recalculated because the buyer added or changed the shipping address. You may want to review the offer amount.","Els impostos del pressupost s’han tornat a calcular perquè el comprador ha afegit o canviat l'adreça d’enviament. És possible que vulgueu revisar l’import de l’oferta."
"Buyer added or changed the shipping address. You may want to offer the shipping price or / and review the offer amount.","El comprador va afegir o canviar l'adreça d'enviament. És possible que vulgueu oferir el preu d’enviament o revisar l’import de l’oferta."
"has been deleted from the quote. You may want to review the offer amount.","ha estat eliminat del pressupost. És possible que vulgueu revisar l’import de l’oferta."
"have been deleted from the quote. You may want to review the offer amount.","s'han eliminat del pressupost. És possible que vulgueu revisar l’import de l’oferta."
(Added),(Afegit)
"Send for Review","Enviar per a revisar"
" after which time it will be reset to its default expiration period. To extend the
    lifetime of the quote, update its expiration date."," passat el temps, es restablirà al període de caducitat predeterminat. Per ampliar la
    vida útil del pressupost, actualitzeu la seva data de caducitat."
"Save and Resume","Desar i reprendre"
Resume,Reprendre
"Your subscription has been confirmed.","La seva subscripció ha estat confirmada."
"The confirmation request has been sent.","S'ha enviat la sol·licitud de confirmació."
"Newsletter Message Preview","Vista prèvia del missatge del butlletí"
"Enter your email address","Introduïu l'adreça de correu electrònic"
Subscribe,Subscriure
"Newsletter subscription confirmation","Confirmació de subscripció al butlletí de notícies"
"Thank you for subscribing to our newsletter.","Gràcies per subscriure't al nostre butlletí de notícies."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Per començar a rebre el butlletí, primer has de confirmar la teva subscripció fent clic en el següent enllaç:"
"Newsletter unsubscription success","Baixa del butlletí de notícies realitzada correctament"
"You have been unsubscribed from the newsletter.","Us heu donat de baixa del butlletí de notícies."
Unsubscribe,"Anul·lar la subscripció"
Subscribed,Subscrit
Unsubscribed,"Subscripció anul·lada"
"Newsletter Subscriptions","Subscripcions al butlletí"
"A confirmation request has been sent.","La sol·licitud de confirmació s'ha enviat."
"We cannot retrieve the payment method model object.","No es pot recuperar el model del mètode de pagament."
"We cannot retrieve the payment info model object.","No es pot recuperar el model d'informació de pagament."
"Credit Card Type","Tipus de targeta de crèdit"
"Credit Card Number","Número de la targeta de crèdit"
"We cannot retrieve the transparent payment method model object.","No es pot recuperar el model transparent de pagament."
"All Allowed Countries","Tots els països permesos"
"Specific Countries","Països especificats"
"The payment method you requested is not available.","El mètode de pagament sol·licitat no està disponible."
"We cannot retrieve the payment method code.","No es pot recuperar el codi del mètode de pagament."
"We cannot retrieve the payment information object instance.","No es pot recuperar la instància d'informació de pagament."
"You can't use the payment type you selected to make payments to the billing country.","No es pot utilitzar el mètode de pagament seleccionat en aquest país de facturació."
"The order action is not available.","Comanda no disponible."
"The authorize action is not available.","Autorització no disponible."
"The capture action is not available.","Captura no disponible."
"The refund action is not available.","Reemborsament no disponible."
"The payment review action is unavailable.","L'acció de revisió de pagaments no està disponible."
"Please enter a valid credit card type number.","Introduïu un número de targeta de crèdit vàlid si us plau."
"Please enter a valid credit card number.","Introduïu un número de targeta de crèdit vàlid si us plau."
"Incorrect credit card expiration month.","Mes de caducitat de la targeta incorrecte."
"Incorrect credit card expiration year.","Any de caducitat de la targeta incorrecte."
"We can't initialize Express Checkout review.","No podem inicialitzar la revisió del procés de compra."
Shortcut,Drecera
"The payment is pending while it is being reviewed by PayPal for risk.","El pagament està pendent mentre PayPal n'està revisant el risc."
"Don't have a PayPal account? Simply enter your email address.","No teniu cap compte de PayPal? Simplement introduïu la vostra adreça de correu electrònic."
"Skip Order Review Step","Saltar el pas de revisió de la comanda"
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","La funció de l’instal·lació només està disponible en aquestes configuracions regionals: en_MX, es_MX, en_BR, pt_BR."
"Welcome, %1!","Benvingut, %1!"
"Persistence Lifetime (seconds)","Durada de la persistència (segons)"
"Preview Image","Previsualitzar la imatge"
"Shipping & Handling (%1)","Enviament i manipulació (%1)"
"Show Reviews","Mostrar ressenyes"
"Customers Reviews","Ressenyes de clients"
"Reviews for %1","Ressenyes per %1"
"Products Reviews","Ressenyes de productes"
"An error occurred while showing the product views report. Please review the log and try again.","S'ha produït un error en mostrar l'informe de visualitzacions del producte. Reviseu el registre i torneu-ho a provar."
Review,Ressenya
Reviews,Ressenyes
"Customer Reviews Report","Informe de ressenyes de clients"
"Product Reviews Report","Informe de ressenyes de producte"
"Product Reviews","Ressenyes de producte"
"You refreshed lifetime statistics.","Heu refrescat la durada de les estadístiques."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Per obtenir un informe exacte, assegureu-vos d’actualitzar les estadístiques acumulades cada vegada que canvieu la zona horària."
"Last Review","Darrera Revisió"
"Refresh Lifetime Statistics","Refrescar estadístiques acumulades"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Esteu segur que voleu actualitzar les estadístiques acumulades ara mateix? Aquesta operació pot retardar l'experiència de la compra dels vostres clients."
"Options were updated. Please review available configurations.","Opcions actualitzades. Si us plau, reviseu les configuracions disponibles."
"Name & Description","Nom i descripció"
"Save Review","Desar ressenya"
"New Review","Nova ressenya"
"Review Details","Revisar detalls"
Nickname,"Sobrenom (àlies)"
"Summary of Review","Resum de la ressenya"
Review,Revisar
"Delete Review","Eliminar ressenya"
"Edit Review '%1'","Modificar ressenya '%1'"
"Pending Reviews of Customer `%1`","Ressenyes pendents del client `%1`"
"Pending Reviews","Ressenyes pendents"
"All Reviews of Customer `%1`","Totes les ressenyes del client `%1`"
"All Reviews of Product `%1`","Totes les ressenyes del producte `%1`"
"All Reviews","Totes les ressenyes"
"Pending product review(s)","Ressenyes pendents del producte"
"Summary of review: %1 <br/>","Resum de la ressenya: %1<br/>"
"Review: %1 <br/>","Ressenya: %1<br/>"
"Click <a href=""%1"">here</a> to see the review.","Feu clic <a href=""%1"">aquí</a> per veure la ressenya."
"Product: ""%1"" reviewed by: %2","Producte: ""%1"" valorat per: %2"
"Pending Reviews RSS","Ressenyes pendents RSS"
"Reviews %1","Ressenyes %1"
"The review has been deleted.","S'ha eliminat la ressenya."
"Something went wrong  deleting this review.","Alguna cosa ha anat malament eliminant la ressenya."
"Customer Reviews","Ressenyes de clients"
"Edit Review","Modificar ressenya"
"Please select review(s).","Si us plau, seleccioneu ressenyes."
"Something went wrong while updating these review(s).","Alguna cosa ha anat malament desant aquestes ressenyes."
"You saved the review.","Heu desat la ressenya."
"Something went wrong while saving this review.","Alguna cosa ha anat malament desant aquesta ressenya."
"The review was removed by another user or does not exist.","Un altre usuari ha eliminat la ressenya o no existeix."
"My Product Reviews","Les meves ressenyes de productes"
"You submitted your review for moderation.","Heu enviat la vostra ressenya a moderació."
"We can't post your review right now.","En aquests moments no podem publicar la vostra ressenya."
"Please enter a review summary.","Si us plau, introduïu un resum de la ressenya."
"Please enter a nickname.","Si us plau, introduïu un sobrenom (àlies)."
"Please enter a review.","Si us plau, introduïu una ressenya."
"You have submitted no reviews.","No heu enviat cap ressenya."
"My Recent Reviews","Les meves ressenyes recents"
"View All","Mostrar-ho tot"
"Your Review","La vostra ressenya"
"Back to My Reviews","Tornar a les meves ressenyes"
"Ratings Review Summary","Resum de revisió de valoracions"
"Be the first to review this product","Sigueu el primer a opinar sobre aquest producte"
"Write Your Own Review","Escriu la teva ressenya"
"You're reviewing:","Esteu revisant:"
"Submit Review","Enviar ressenya"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Només els usuaris registrats poden escriure ressenyes. Si us plau, <a href=""%1"">Inicieu la sessió</a> o <a href=""%2"">creeu un compte</a>"
"Add Your Review","Afegiu la vostra ressenya"
"%1 Review(s)","%1 ressenyes"
"Review by","Revisat per"
"Product Review (submitted on %1):","Ressenya de producte (enviada el %1):"
"Back to Product Reviews","Tornar a les ressenyes de productes"
"Allow Guests to Write Reviews","Permetre als convidats escriure ressenyes"
"For submitting a product review","Per enviar una ressenya de producte"
"Review Submission","Enviament de ressenya"
"Rewarded Reviews Submission Quantity Limit","Límit de quantitat d'enviament de Ressenyes Recompensades"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Si no introduïu cap valor o un valor superior a la durada de la caducitat, es desactiva la notificació d'avís."
"Submit a review now and earn %1 after the review is approved.","Envieu una ressenya ara i guanyeu %1 un cop sigui aprovada."
"You can reward up to %1 new reviews(s).","Podeu recompensar fins a 1% ressenyes noves."
"Ordered: ","Demanat: "
"Track this shipment","Realitzar un seguiment d'aquest enviament"
"We received your return request. You will be notified when your request is reviewed.","Hem rebut la vostra sol·licitud de devolució. Sereu notificat quan es revisi la vostra sol·licitud."
"Credit Memos",Abonament
Invoices,Factures
"We can't get the order instance right now.","En aquest moment no és possible obtenir la instància de la comanda."
"Create New Order","Crear Nova Comanda"
"Save Order Address","Guardar l'Adreça de la Comanda"
Billing,Facturació
"Edit Order %1 %2 Address","Editar l'Adreça %2 de la Comanda %1"
"Order Address Information","Dades de l'adreça de la comanda"
"Please correct the parent block for this block.","Si us plau, corregiu el bloc pare d'aquest bloc."
"Submit Comment","Enviar Comentari"
"Submit Order","Enviar Comanda"
"Are you sure you want to cancel this order?","Segur que voleu eliminar aquesta comanda?"
"Order Comment","Comentari de Comanda"
Coupons,Cupons
"Please select a customer","Si us plau, seleccioneu un client"
"Create New Customer","Crear un nou usuari"
From,De
"Edit Order #%1","Editar Comanda #%1"
"Create New Order for %1 in %2","Crear Nova Comanda per %1 a %2"
"Create New Order in %1","Crear Nova Comanda a %1"
"Create New Order for %1","Crear Nova Comanda per a %1"
"Create New Order for New Customer","Crear Nova Comanda per Nou Client"
"Items Ordered","Articles demanats"
"This product is disabled.","Aquest producte està deshabilitat."
"Item ordered qty","Quantitat d'articles ordenats"
"This product does not have any configurable options","Aquest producte no té cap opció configurable"
"Newsletter Subscription","Subscripció al butlletí"
"Please select products","Si us plau, seleccioneu productes"
"Add Selected Product(s) to Order","Afegir el(s) producte(s) seleccionat(s) a la comanda"
Select,Seleccionar
"Update Changes","Actualitzar els canvis"
"Products in Comparison List","Productes a la llista de comparació"
"Recently Compared Products","Productes comparats recentment"
"Recently Viewed Products","Productes vistos recentment"
"Last Ordered Items","Últims articles demanats"
"Please select a store","Si us plau, seleccioneu una botiga"
"Order Totals","Totals de la comanda"
"Shipping Incl. Tax (%1)","L'enviament inclou l'IVA (%1)"
"Shipping Excl. Tax (%1)","L'enviament exclou l'IVA (%1)"
"Refund Shipping (Incl. Tax)","Reemborsar Enviament (Incl. IVA)"
"Refund Shipping (Excl. Tax)","Reemborsar Enviament (Excl. IVA)"
"Refund Shipping","Reemborsar l'enviament"
"Update Qty's","Actualitzar Quantitat"
"Update Totals","Actualitzar Totals"
Refund,Reemborsament
"Refund Offline","Reemborsar Offline"
"Paid Amount","Quantitat Pagada"
"Order Grand Total","Total Global Comanda"
Void,Buit
Print,Imprimir
"The credit memo email was sent.","S'ha enviat el correu de l'abonament."
"Total Refund","Reemborsament total"
"Submit Invoice","Enviar Factura"
"Credit Memo",Abonament
Capture,Capturar
"The invoice email was sent.","S'ha enviat el correu de la factura."
"The invoice email wasn't sent.","El correu de la factura no s'ha enviat."
"Order Statuses","Estat de la comanda"
"Create New Status","Crear Nou Estat"
"Order State","Estat de Comanda"
"Edit Order Status","Editar Estat de Comanda"
"Save Status","Guardar Estat"
"Order Status Information","Dades d'Estat de la Comanda"
"Status Code","Codi d'Estat"
"Total Paid","Total Pagat"
"Total Refunded","Total Reemborsament"
"Total Due","Total Deute"
Hold,"Posa en espera"
hold,"posa en espera"
Unhold,Alliberar
unhold,alliberar
"Accept Payment","Acceptar Pagament"
"Deny Payment","Denegar Pagament"
"Invoice and Ship","Facturar i Enviar"
Ship,Enviament
" [deleted]"," [esborrat]"
"Order History","Historial de comandes"
Information,Informació
"Order Information","Informació de la comanda"
"Order Invoices","Factures de Comanda"
Shipments,Enviaments
"Order Shipments","Enviaments de la comanda"
Transactions,Transaccions
Specified,Especificat
"Discount (%1)","Descompte (%1)"
"Grand Total","Suma total"
Fetch,Obtenir
Key,Clau
Value,Valor
"Back to My Orders","Tornar a les meves comandes"
"My Orders","Les meves comandes"
"Grand Total to be Charged","Suma total a càrrec"
Unassign,Desassignar
"This order no longer exists.","Aquesta comanda ja no existeix."
"Please enter a comment.","Escriu un comentari, si us plau."
"Orders and Returns","Comandes i Devolucions"
"Invoice # ","Factura # "
"Please enter a tracking number.","Si us plau, introduïu un número de seguiment."
Complete,Completa
"Payment Review","Revisió de pagament"
"Grand Total Excl. Tax","Suma total Excl. IVA"
"Grand Total Incl. Tax","Suma total Incl. IVA"
"Shipping &amp; Handling","Enviament &amp; manipulació"
"Comment added","Comentari afegit"
"Shipped By","Enviat per"
"Tracking Number","Número de seguiment"
"You have placed no orders.","No has realitzat cap comanda."
"Print Order","Imprimir la comanda"
"Print All Invoices","Imprimeix totes les factures"
"Invoice #","Factura #"
"Print Invoice","Imprimir factura"
"About Your Order","Sobre la teva comanda"
"Shipment #%1","Enviament #%1"
"Recently Ordered","Recentment demanat"
"Credit memo for your %store_name order","Factura d'abonament de la comanda a %store_name"
"Thank you for your order from %store_name.","Gràcies per la comanda a %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Podeu revisar l'estat de la comanda <a href=""%account_url"">entrant al vostre compte</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Factura d'abonament #%creditmemo_id de la comanda #%order_id"
"Billing Info","Informació de facturació"
"Update to your %store_name credit memo","Actualització de la factura d'abonament a %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","La comanda #%increment_id ha estat actualitzada a l'estat <strong>%order_status</strong>."
"Invoice for your %store_name order","Factura de la comanda a %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Factura #%invoice_id de la comanda #%order_id"
"Update to your %store_name invoice","Actualització factura de la comanda a %store_name"
"Your %store_name order confirmation","Confirmació de la comanda a %store_name"
"Once your package ships we will send you a tracking number.","Rebreu el número de seguiment quan us enviem la comanda."
"Your Order <span class=""no-link"">#%increment_id</span>","Comanda <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Posat en <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Actualització de la comanda a %store_name"
"Your %store_name order has shipped","S'ha enviat la comanda realitzada a %store_name"
"Your shipping confirmation is below. Thank you again for your business.","Confirmació de l'enviament a continuació. Gràcies de nou per la comanda."
"Your Shipment #%shipment_id for Order #%order_id","Enviament #%shipment_id de la comanda #%order_id"
"Update to your %store_name shipment","Actualització enviament de la comanda a %store_name"
"Description Message","Missatge de descripció"
"Pending Payment Order Lifetime (minutes)","Caducitat de les ordres de pagament pendents (minuts)"
"Orders and Returns Search Form","Formulari de cerca de comandes i devolucions"
"Print Invoices","Imprimir factures"
"Grand Total (Base)","Suma total (Base)"
"Grand Total (Purchased)","Suma total (Comprat)"
"Allow Zero GrandTotal","Permetre Suma Total Zero"
"Allow Zero GrandTotal for Creditmemo","Permetre Suma Total Zero per a Abonament"
"We can't delete the rule right now. Please review the log and try again.","En aquests moments no podem eliminar la regla. Si us plau, revisa el registre i torneu-ho a provar."
"Something went wrong while generating coupons. Please review the log and try again.","Alguna cosa ha funcionat malament en generar cupons. Reviseu el registre i torneu-ho a provar."
"Search Term","Terme de cerca"
"Search Terms","Termes de cerca"
"Search Synonyms","Cerca Sinònims"
"New Synonym Group","Nou grup de sinònims"
"Delete Synonym Group","Suprimeix el grup de sinònims"
"Are you sure you want to delete this synonym group?","Esteu segur que voleu suprimir aquest grup de sinònims?"
"Save Synonym Group","Desa el grup de sinònims"
"Save Search","Desa la cerca"
"Delete Search","Suprimeix la cerca"
"Edit Search '%1'","Edita la cerca '%1'"
"New Search","Nova cerca"
"Search Information","Informació de la cerca"
"General Information","Informació general"
"Number of results","Nombre de resultats"
"Number of results (For the last time placed)","Nombre de resultats (Per última vegada col·locat)"
"For the last time placed.","Per última vegada col·locat."
"Number of Uses","Nombre de vegades usat"
"ex. http://domain.com","ex. http://domini.com"
"Display in Suggested Terms","Mostrar a termes suggerits"
"The synonym group has been deleted.","El grup de sinònims s'ha suprimit."
"An error was encountered while performing delete operation.","S'ha produït un error en realitzar l'operació de suprimir."
"We can't find a synonym group to delete.","No podem trobar un grup de sinònims per suprimir."
"This synonyms group no longer exists.","Aquest grup de sinònims ja no existeix."
"Edit Synonym Group","Edita el grup de sinònims"
"Synonym Group","Grup de sinònims"
"Failed to delete %1 synonym group(s).","No s'ha pogut eliminar els grups de sinònims %1."
"A total of %1 synonym group(s) have been deleted.","S'han suprimit un total de %1 grups de sinònims."
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","La cerca de sinònims no és compatible amb el motor de cerca %1. No s’utilitzaran els sinònims que introduïu."
"This synonym group no longer exists.","Aquest grup de sinònims ja no existeix."
"You saved the synonym group.","Heu desat el grup de sinònims."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Els termes que heu introduït, (%1), pertanyen a un grup de sinònims existent, %2. Marqueu la casella ""Combina sinònims existents"" per combinar els termes."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Els termes que heu introduït, (%1), pertanyen a %2 grups de sinònims existents, %3 i %4. Marqueu la casella ""Combina sinònims existents"" per combinar els termes."
"You deleted the search.","Heu eliminat la cerca."
"We can't find a search term to delete.","No podem trobar un terme de cerca per suprimir."
"This search no longer exists.","Aquesta cerca ja no existeix."
"Edit Search","Edita la cerca"
"Please select searches.","Si us plau, seleccioneu les cerques."
"Total of %1 record(s) were deleted.","Un total de %1 registre(s) s'ha(n) eliminat."
Reports,Informes
"Search Terms Report","Informe de Termes de Cerca"
"You saved the search term.","Heu desat el terme de cerca."
"Something went wrong while saving the search query.","Alguna cosa ha anat malament desant la consulta de cerca."
"You already have an identical search term query.","Ja teniu una consulta de terme de cerca idèntica."
"Your search query can't be longer than %1, so we shortened your query.","La consulta de cerca no pot ser més llarga que %1, per la qual cosa hem escurçat la consulta."
"Merge conflict with existing synonym group(s): %1","Conflicte en combinar grups de sinònims existents: %1"
"    All Store Views","    Totes les Vistes de la Botiga"
"Are you sure you want to delete synonym group with id: %1?","Segur que voleu suprimir un grup de sinònims amb l'Id: %1?"
"Search entire store here...","Cerqueu tota la botiga aquí..."
"There are no search terms available.","No hi ha termes de cerca disponibles."
"Search Engine","Motor de cerca"
Hits,Encerts
"Suggested Terms","Terme suggerits"
"You can adjust the scope of this synonym group by selecting an option from the list.","Podeu ajustar l’abast d’aquest grup de sinònims seleccionant una opció de la llista."
Scope,Abast
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Llista de sinònims separats per comes. Els termes introduïts (separats per comes) s’utilitzaran com a consulta de cerca “O” per cercar a tota la botiga. Per exemple, si introduïu ""sabates, calçat"" i l'usuari hauria de buscar ""sabates"", els resultats de la cerca inclouran qualsevol producte o contingut amb el terme ""sabates"" o ""calçat"""
Synonyms,Sinònims
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Combina automàticament els sinònims en grups que comparteixen un mateix àmbit. Si marqueu aquesta casella i afegiu un o més dels mateixos termes a grups de sinònims diferents en un mateix àmbit, automàticament fusiona tots els termes en un grup. Si no és el que voleu, desmarqueu la casella i es mostrarà un error si intenteu afegir els mateixos termes."
Website,"Lloc web"
"Are you sure you want to delete the selected synonym groups?","Esteu segur que voleu suprimir els grups de sinònims seleccionats?"
"Delete items","Suprimeix els elements"
"Welcome, %name","Benvingut, %name"
"Tracking Information","Informació de seguiment"
"Print All Shipments","Imprimeix tots els enviaments"
"Shipment #","Enviament #"
"Print Shipment","Imprimeix l'enviament"
"Tracking Number:","Número de seguiment:"
"There is no tracking available for this shipment.","No hi ha cap seguiment disponible per a aquest enviament."
"In Review","En revisió"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd revisa automàticament les vostres comandes per frau, indicant-vos en pocs segons quines comandes s’hauran d’enviar i quines rebutjar.
                    Aportem les nostres aprovacions amb un 100% de protecció contra la devolució, reemborsant-li l’import complet de la comanda més les comissions en cas de rebre alguna devolució fraudulenta.
                    <p> Beneficis: <ul>
                    <li> Fer créixer el vostre negoci sense por de frau </li>
                    <li> Accepteu més comandes i maximitzeu els vostres ingressos </li>
                    <li> Automatitzar la revisió de comandes i canviar el frau de la vostra placa </li> </ul> </p>"
"Share Preview Link","Compartir enllaç de vista prèvia"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","S'ha produït un error durant l'eliminació massiva de còpies de seguretat de recol·lectors de dades. Reviseu el registre i torneu-ho a provar."
"An error occurred while deleting the system report. Please review log and try again.","S'ha produït un error en eliminar l'informe del sistema. Si us plau, reviseu el registre i torneu-ho a provar."
"An error occurred while the system report was being created. Please review the log and try again.","S'ha produït un error durant la creació de l'informe del sistema. Si us plau, reviseu el registre i torneu-ho a provar."
"An error occurred during mass deletion of system reports. Please review log and try again.","S'ha produït un error durant l'eliminació massiva dels informes del sistema. Si us plau, reviseu el registre i torneu-ho a provar."
"Update Product Preview Image","Actualitzar la imatge de previsualització del producte"
"Theme Preview Image","Imatge de previsualització del tema"
welcome,benvingut
"%1 Item(s)","%1 Article(s)"
"Default welcome msg!","Missatge de benvinguda predeterminat!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. Tots els drets reservats."
"Default Meta Description","Meta Descripció per Defecte"
"Default Meta Keywords","Meta Paraules clau predeterminades"
"Welcome Text","Text de Benvinguda"
Menu,Menú
Account,Compte
"Enter your email address.  You will receive an email with a link to reset your password.","Introduïu l'adreça de correu electrònic. Rebreu un correu electrònic amb un enllaç per restablir la contrasenya."
"Forgot your password?","Heu oblidat la constrasenya?"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Hem rebut una sol·licitud per canviar la informació següent associada amb el vostre compte a %store_name: %changes."
"Password Lifetime (days)","Durada de la contrasenya (dies)"
"Stored Payment Methods","Mètodes de pagament guardats"
Preview,Previsualització
"Preview is not available.","La previsualització no està disponible."
"Consumer is not authorized to access %resources","El client no està autoritzat a accedir a %resources"
"Operation allowed only in HTTPS","Operació només permesa en HTTPS"
"Request does not match any route.","La petició no coincideix amb cap ruta."
"Operation ""%1"" not found.","Operació ""%1"" no trobada."
"SOAP extension is not loaded.","L'extensió SOAP no s'ha carregat."
"Invalid XML","XML invàlid"
"Soap fault reason.","Motiu de fallada SOAP."
"Create Customer","Crear Client"
"Edit Customer","Editar Client"
"Get Customer","Obtenir Client"
"Magento Web API","API Web Magento"
"SOAP Settings","Opcions SOAP"
"Default Response Charset","Charset de Resposta per Defecte"
"If empty, UTF-8 will be used.","S està buit, s'utilitzarà UTF-8."
description,descripció
"Defines whether a link to My Account","Defineix si hi ha un enllaç al Meu Compte"
"My Wish List","La Meva Llista de Desitjos"
"Add All to Cart","Afegir tot a la cistella"
"You have no items in your wish list.","No tens cap element a la teva llista de desitjos."
"My Wish List Link","Enllaç a la Meva Llista de Desitjos"
"User Description","Descripció de l'usuari"
"You must login or register to add items to your wishlist.","Heu d'iniciar sessió o registrar-vos per afegir elements a la vostra llista de desitjos."
"Account Information","Informació del Compte"
"Address Book","Llibreta d'Adreces"
"Quick Checkout","Compra ràpida"
"Store alternative addresses","Desar adreces alternatives"
"For shipping to multiple family members and friends","Per enviar a familiars i amics"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>Respecte a nosaltres</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Atenció al Client</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Horari d'atenció:<br /><span class=""no-link"">%store_hours</span>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Si teniu consultes sobre la comanda, ens podeu escriure a <a href=""mailto:%store_email"">%store_email</a>."
"Shipping Info","Informació d'enviament"
"About Us","Sobre Nosaltres"
"Customer Service","Servei al client"
"Backup options","Opcions de backup"
Warning,Atenció
Ok,D'acord
"Insert Widget...","Inserir Giny..."
"Recent items","Elements recents"
"Show all...","Mostra-ho tot..."
"Please enter a number greater 0 in this field.","Introduïu un nombre més gran que 0."
"Please select one of each ratings above.","Seleccioneu una de les classificacions anteriors."
"Please specify Url.","Si us plau especifiqueu l'Url."
"Method %s does not exist on jQuery.decorate","El mètode %s no existeis a jQuery.decorate"
"Please wait...","Espera, si us plau..."
"All ","Tot "
more,més
Translate,Traduir
"Please enter {0} words or less.","Introduïu un màxim de {0} paraules si us plau."
"Please enter at least {0} words.","Introduïu almenys {0} paraules si us plau."
"Please enter between {0} and {1} words.","Introduïu entre {0} i {1} paraules si us plau."
"Letters or punctuation only please","Només lletres i signes de puntuació si us plau"
"Letters, numbers, spaces or underscores only please","Només lletres, nombres, espais o subratllats si us plau"
"Letters only please","Només lletres si us plau"
"No white space please","Sense espais en blanc si us plau"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","El codi postal ha d'estar entre 902xx-xxxx i 905-xx-xxxx"
"A positive or negative non-decimal number please","Nombres positius o negatius sense decimals si us plau"
"The specified vehicle identification number (VIN) is invalid.","El nombre d'identificació de vehicle (VIN) no és vàlid."
"Please enter a correct date","Introduïu una data correcta si us plau"
